acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,Max Search Time Delta
0.0614,"['DDG', 'Blueface']",0.928,170233,0.341,1,7o4gBbTM6UBLkOYPw9xMCz,0.0,11,0.162,-10.196,0,Moonwalking in Calabasas (feat. Blueface) - Remix,83,2020-12-02,0.103,129.966,0.745,2020,
0.0135,['Mac Miller'],0.794,195873,0.7659999999999999,1,51pshtuYkgUQnt5huMPbKL,0.0,9,0.0785,-3.894,0,The Spins,76,2010-08-13,0.0377,127.007,0.55,2010,2678400.0
0.872,"[""Plain White T's""]",0.6559999999999999,232533,0.29100000000000004,0,4RCWB3V8V0dignt99LZ8vH,0.0,2,0.114,-10.572,1,Hey There Delilah,80,2005-01-01,0.0293,103.971,0.298,2005,433987200.0
0.619,['Joji'],0.672,174358,0.588,1,1VGzxJnVQND7Cg5H5wGj14,0.241,1,0.0992,-9.573,1,YEAH RIGHT,80,2018-10-26,0.133,169.033,0.204,2018,297129600.0
0.529,['Eminem'],0.855,248133,0.954,1,7Ie9W94M7OjPoZVV216Xus,0.0,0,0.205,-1.19,0,Not Afraid,78,2010-06-18,0.264,114.635,0.6679999999999999,2010,344563200.0
0.0678,['The Neighbourhood'],0.588,260173,0.521,0,5E30LdtzQTGqRvNd7l6kG5,0.149,10,0.123,-9.461,1,Daddy Issues,87,2015-10-30,0.0329,85.012,0.337,2015,10454400.0
0.16699999999999998,['Corinne Bailey Rae'],0.7390000000000001,215360,0.511,0,2nGFzvICaeEWjIrBrL2RAx,1.34e-06,9,0.133,-7.8439999999999985,1,Put Your Records On,77,2006-01-01,0.0362,96.038,0.542,2006,444528000.0
0.0714,['MGMT'],0.763,229640,0.807,0,3FtYbEfBqAlGO46NUDQSAt,0.28,1,0.348,-3.714,1,Electric Feel,77,2007-12-14,0.035,103.038,0.5589999999999999,2007,236649600.0
0.58,['Led Zeppelin'],0.338,482830,0.34,0,5CQ30WqJwcep0pYcV4AMNc,0.0032,9,0.116,-12.049,0,Stairway to Heaven - Remaster,78,1971-11-08,0.0339,82.43299999999998,0.197,1971,531187200.0
0.501,['Don Henley'],0.516,288733,0.5489999999999999,0,4gvea7UlDkAvsJBPZAd4oB,0.00572,6,0.184,-13.741,1,The Boys Of Summer,76,1984-01-01,0.0373,176.94099999999997,0.907,1984,499651200.0
