id,acousticness,name,artists,danceability,duration_ms,energy,explicit,instrumentialness key,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year,Sampled Times,CoveredTimes,Remix Times,Remix of ,Sample of,Cover Of
0sLSFTdP3tgkNOKe1MSWtH,0.0043,Your Mind (Year in Review 2020),['Cosmic Gate'],0.599,179993,0.796,0,0.0797,8,0.107,-10.222,0,2,2021-01-22,0.0421,127.969,0.143,2021,-1,-1,-1,-1,-1,-1
23v44UyrWTzafhw0KImVuz,0.073,Never Forgotten (Year in Review 2020),"['Mark Sixma', 'M6']",0.606,178989,0.915,0,0.247,4,0.091,-8.176,0,1,2021-01-22,0.0486,128.72,0.252,2021,-1,-1,-1,-1,-1,-1
2Cu7GOgViPVDx9QmhWOrIm,0.00721,Hybrid Origin (Year in Review 2020),"['Lange', 'Andy Moor', 'Stadium4']",0.439,203612,0.937,0,0.895,11,0.33,-10.203,0,0,2021-01-22,0.0447,131.992,0.0709,2021,-1,-1,-1,-1,-1,-1
4WxGMzTRECd5KMfPUPUAjZ,0.00379,Blue Monday (Year in Review 2020),['Above & Beyond'],0.646,206748,0.792,0,0.547,7,0.239,-8.355,1,0,2021-01-22,0.0358,130.012,0.427,2021,-1,-1,-1,-1,-1,-1
7LnpZdVhT9QBlrLqKoW7Ep,4.30E-05,That Feeling (Year in Review 2020),['Orkidea'],0.484,181054,0.84,0,0.497,7,0.0974,-8.701,0,1,2021-01-22,0.0359,130.003,0.0354,2021,-1,-1,-1,-1,-1,-1
4m5V21Idy3HSh2JpRhLSi7,0.000604,Mo Chara (Year in Review 2020),"['Ferry Corsten', 'Ciaran McAuley']",0.435,169547,0.921,0,0.893,1,0.257,-10.319,0,0,2021-01-22,0.0385,135.941,0.208,2021,-1,-1,-1,-1,-1,-1
1DLXvhN6g6VaoJcQ2Rl7Jd,0.00841,The Hierophant (Year in Review 2020),['Eelke Kleijn'],0.579,92062,0.919,0,0.916,0,0.112,-9.087,1,3,2021-01-22,0.0569,125.119,0.645,2021,-1,-1,-1,-1,-1,-1
70Vsxy21pPxFJeCSSRZwrk,0.0129,Feel Alive (Year in Review 2020),"['Markus Schulz', 'London Thor', 'Valentino Alessandrini']",0.652,150016,0.571,0,0.00216,1,0.474,-10.681,0,2,2021-01-22,0.0286,128.019,0.307,2021,-1,-1,-1,-1,-1,-1
2TpMyFBfU8JnJU5tCXRtmD,0.072,Balearic Reflection (Year in Review 2020),['Johan Gielen'],0.555,192657,0.902,0,0.692,7,0.176,-9.321,1,1,2021-01-22,0.0388,129.599,0.164,2021,-1,-1,-1,-1,-1,-1
609VF7yR3kps1C1Y16cdFe,0.00155,The Gate (Year in Review 2020),['Matt Fax'],0.54,151489,0.892,0,0.969,6,0.0766,-10.15,1,2,2021-01-22,0.0469,126.733,0.0723,2021,-1,-1,-1,-1,-1,-1
3JPJVmN9zp8DrjvGXtIjez,0.00584,Shadow & Flame (Year in Review 2020),['Mike Efex'],0.523,177219,0.973,0,0.914,7,0.213,-9.233,1,0,2021-01-22,0.0418,129.998,0.114,2021,-1,-1,-1,-1,-1,-1
